x,y,x_centroid,y_centroid
-12.531,48.293,-23.201933678756493,43.69825284974095
29.254,32.108,15.036140115163152,28.56931094049907
-28.397,30.691,-23.201933678756493,43.69825284974095
-38.711,57.76,-23.201933678756493,43.69825284974095
2.085,17.996,15.036140115163152,28.56931094049907
-7.874,-62.627,-13.092549893842886,-49.18245541401274
-11.496,57.876,-23.201933678756493,43.69825284974095
58.063,-2.473,64.7509191616766,-6.856127744510977
49.047,-9.202,64.7509191616766,-6.856127744510977
18.828,-38.021,11.806879912663756,-14.607970524017489
-50.477,24.67,-51.086794496990535,-1.8058048151332802
-12.081,-60.938,-13.092549893842886,-49.18245541401274
-50.545,23.264,-51.086794496990535,-1.8058048151332802
-14.164,-59.315,-13.092549893842886,-49.18245541401274
82.331,5.838,64.7509191616766,-6.856127744510977
62.521,-20.442,64.7509191616766,-6.856127744510977
16.283,-31.461,11.806879912663756,-14.607970524017489
-9.102,-2.6,11.806879912663756,-14.607970524017489
-16.274,-70.491,-13.092549893842886,-49.18245541401274
-21.855,31.697,-23.201933678756493,43.69825284974095
-49.244,-12.615,-51.086794496990535,-1.8058048151332802
19.368,41.876,15.036140115163152,28.56931094049907
-42.512,20.875,-51.086794496990535,-1.8058048151332802
-45.126,-31.804,-51.086794496990535,-1.8058048151332802
-4.057,50.759,-23.201933678756493,43.69825284974095
15.922,44.845,15.036140115163152,28.56931094049907
20.911,25.675,15.036140115163152,28.56931094049907
-60.592,-11.406,-51.086794496990535,-1.8058048151332802
49.534,-10.709,64.7509191616766,-6.856127744510977
-0.887,-63.19,-13.092549893842886,-49.18245541401274
-56.013,-17.04,-51.086794496990535,-1.8058048151332802
82.141,-19.773,64.7509191616766,-6.856127744510977
64.382,-5.666,64.7509191616766,-6.856127744510977
56.887,-6.123,64.7509191616766,-6.856127744510977
7.532,-16.026,11.806879912663756,-14.607970524017489
-47.303,-24.193,-51.086794496990535,-1.8058048151332802
-14.347,17.52,-23.201933678756493,43.69825284974095
15.742,6.979,15.036140115163152,28.56931094049907
64.672,0.802,64.7509191616766,-6.856127744510977
48.084,-9.905,64.7509191616766,-6.856127744510977
23.653,-22.993,11.806879912663756,-14.607970524017489
-54.764,17.672,-51.086794496990535,-1.8058048151332802
22.291,26.856,15.036140115163152,28.56931094049907
-49.537,26.833,-51.086794496990535,-1.8058048151332802
-53.762,29.463,-51.086794496990535,-1.8058048151332802
77.465,9.076,64.7509191616766,-6.856127744510977
-51.741,4.505,-51.086794496990535,-1.8058048151332802
-48.39,22.552,-51.086794496990535,-1.8058048151332802
-22.942,69.308,-23.201933678756493,43.69825284974095
24.924,-39.051,11.806879912663756,-14.607970524017489
68.684,-16.847,64.7509191616766,-6.856127744510977
34.377,29.336,15.036140115163152,28.56931094049907
0.819,-31.003,11.806879912663756,-14.607970524017489
-6.923,-61.91,-13.092549893842886,-49.18245541401274
-1.907,-27.029,11.806879912663756,-14.607970524017489
-57.379,-14.679,-51.086794496990535,-1.8058048151332802
3.038,12.871,15.036140115163152,28.56931094049907
12.059,39.565,15.036140115163152,28.56931094049907
-12.07,-71.989,-13.092549893842886,-49.18245541401274
39.766,-2.962,64.7509191616766,-6.856127744510977
20.649,58.369,15.036140115163152,28.56931094049907
-23.137,30.788,-23.201933678756493,43.69825284974095
-24.765,-48.722,-13.092549893842886,-49.18245541401274
12.34,42.711,15.036140115163152,28.56931094049907
85.74,-3.982,64.7509191616766,-6.856127744510977
-16.643,45.826,-23.201933678756493,43.69825284974095
53.447,-18.867,64.7509191616766,-6.856127744510977
-30.009,9.146,-51.086794496990535,-1.8058048151332802
15.628,39.577,15.036140115163152,28.56931094049907
-52.814,-31.948,-51.086794496990535,-1.8058048151332802
43.768,2.088,64.7509191616766,-6.856127744510977
-4.707,-50.979,-13.092549893842886,-49.18245541401274
-15.079,-56.02,-13.092549893842886,-49.18245541401274
16.5,-41.62,11.806879912663756,-14.607970524017489
-8.889,27.555,-23.201933678756493,43.69825284974095
-3.373,-53.25,-13.092549893842886,-49.18245541401274
-59.56,38.309,-23.201933678756493,43.69825284974095
-12.309,-52.705,-13.092549893842886,-49.18245541401274
-17.02,-49.243,-13.092549893842886,-49.18245541401274
-0.631,-40.386,-13.092549893842886,-49.18245541401274
38.011,-7.604,64.7509191616766,-6.856127744510977
-45.157,0.259,-51.086794496990535,-1.8058048151332802
-50.245,-35.105,-51.086794496990535,-1.8058048151332802
-5.449,-46.061,-13.092549893842886,-49.18245541401274
-31.433,-2.88,-51.086794496990535,-1.8058048151332802
-53.12,7.869,-51.086794496990535,-1.8058048151332802
-8.851,62.9,-23.201933678756493,43.69825284974095
-53.034,-38.099,-51.086794496990535,-1.8058048151332802
7.879,53.851,15.036140115163152,28.56931094049907
-10.946,43.605,-23.201933678756493,43.69825284974095
87.033,-12.252,64.7509191616766,-6.856127744510977
5.531,47.345,15.036140115163152,28.56931094049907
38.311,-42.095,11.806879912663756,-14.607970524017489
84.372,-8.594,64.7509191616766,-6.856127744510977
-53.648,-38.002,-51.086794496990535,-1.8058048151332802
3.14,-46.502,-13.092549893842886,-49.18245541401274
19.637,39.486,15.036140115163152,28.56931094049907
-49.533,-37.599,-51.086794496990535,-1.8058048151332802
24.013,31.81,15.036140115163152,28.56931094049907
-53.554,-11.55,-51.086794496990535,-1.8058048151332802
-49.079,-31.224,-51.086794496990535,-1.8058048151332802
22.766,-6.821,11.806879912663756,-14.607970524017489
-60.439,12.958,-51.086794496990535,-1.8058048151332802
-51.533,-26.028,-51.086794496990535,-1.8058048151332802
45.665,-16.217,64.7509191616766,-6.856127744510977
53.754,16.372,64.7509191616766,-6.856127744510977
-48.753,-30.473,-51.086794496990535,-1.8058048151332802
46.309,-10.478,64.7509191616766,-6.856127744510977
-5.761,-57.893,-13.092549893842886,-49.18245541401274
-60.754,28.256,-51.086794496990535,-1.8058048151332802
-1.682,-70.847,-13.092549893842886,-49.18245541401274
-23.576,-37.87,-13.092549893842886,-49.18245541401274
82.047,-7.087,64.7509191616766,-6.856127744510977
12.337,-8.81,11.806879912663756,-14.607970524017489
28.444,15.463,15.036140115163152,28.56931094049907
30.515,19.015,15.036140115163152,28.56931094049907
-1.704,-1.075,11.806879912663756,-14.607970524017489
-12.085,-38.7,-13.092549893842886,-49.18245541401274
-22.156,15.116,-23.201933678756493,43.69825284974095
0.712,58.925,-23.201933678756493,43.69825284974095
-19.876,-68.718,-13.092549893842886,-49.18245541401274
62.421,-12.737,64.7509191616766,-6.856127744510977
28.34,-40.192,11.806879912663756,-14.607970524017489
-28.369,-0.58,-51.086794496990535,-1.8058048151332802
15.992,36.995,15.036140115163152,28.56931094049907
